,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,nhulunbuy,38,AU,1569104989,88,-12.18,136.78,297.15,2.6
88,port elizabeth,1,US,1569104990,47,39.31,-74.98,301.48,2.6
89,taltal,0,CL,1569104992,67,-25.41,-70.49,287.546,1.63
90,namibe,100,AO,1569104995,84,-15.19,12.15,291.846,4.45
91,arman,100,RU,1569104997,98,59.7,150.17,277.546,1.39
92,chokurdakh,5,RU,1569104998,84,70.62,147.9,269.646,2.51
93,dikson,100,RU,1569104999,96,73.51,80.55,276.046,8.94
94,sicamous,75,CA,1569105001,59,50.84,-118.99,295.37,3.6
95,kruisfontein,100,ZA,1569104940,83,-34.0,24.73,286.946,8.04
96,praya,20,ID,1569105007,94,-8.71,116.27,294.15,5.56
97,houma,0,CN,1569105010,50,35.63,111.36,291.6,1.27
98,sibolga,82,ID,1569105012,85,1.74,98.78,299.9,5.2
99,airai,67,TL,1569105013,42,-8.93,125.41,301.1,1.12
100,qasigiannguit,100,GL,1569105014,56,68.82,-51.19,280.15,6.7
101,abu zabad,47,SD,1569105016,76,12.35,29.25,297.9,4.8
102,tocopilla,73,CL,1569105017,83,-22.09,-70.2,287.3,1.9
103,itaqui,0,BR,1569105018,63,-29.13,-56.55,285.6,3.26
104,quelimane,0,MZ,1569105021,83,-17.88,36.89,295.15,1.5
105,nioro,81,GM,1569105022,70,13.79,-15.05,300.6,2.47
106,hobart,20,AU,1569104858,84,-42.88,147.33,283.71,7.2
107,yeroham,37,IL,1569105025,83,30.99,34.93,293.15,1.4
108,madimba,75,CM,1569105026,100,4.42,9.93,296.15,2.1
109,shaunavon,6,CA,1569104839,38,49.65,-108.41,289.546,5.32
110,upernavik,100,GL,1569105028,71,72.79,-56.15,276.2,2.0
111,naryan-mar,64,RU,1569105030,87,67.67,53.09,272.6,1.28
112,kapaa,20,US,1569105031,62,22.08,-159.32,304.15,8.2
113,mar del plata,63,AR,1569105032,37,-46.43,-67.52,282.3,6.0
114,cayenne,0,GF,1569105035,78,4.94,-52.33,301.15,5.1
115,nikolskoye,75,RU,1569105036,81,59.7,30.79,279.26,4.0
116,pando,0,UY,1569105037,41,-34.72,-55.96,292.04,3.6
117,cidreira,0,BR,1569105039,68,-30.17,-50.22,286.3,1.6
118,kudahuvadhoo,100,MV,1569105040,76,2.67,72.89,300.4,6.57
119,ilulissat,100,GL,1569105042,56,69.22,-51.1,280.15,6.7
120,amsterdam,0,NL,1569104964,59,52.37,4.89,291.48,4.1
121,saint-philippe,1,CA,1569105045,61,45.36,-73.48,299.26,2.1
122,scunthorpe,40,GB,1569105046,93,53.59,-0.65,288.71,1.5
123,bethel,90,US,1569105048,87,60.79,-161.76,281.15,10.3
124,nuuk,98,GL,1569105024,93,64.17,-51.74,277.04,5.81
125,hamilton,20,CA,1569104979,69,43.26,-79.87,302.04,4.6
126,castro,90,CL,1569105053,70,-42.48,-73.76,282.15,1.5
127,pangnirtung,15,CA,1569105055,74,66.15,-65.72,270.9,1.19
128,yantai,0,CN,1569105056,51,37.53,121.39,298.71,8.04
129,khatanga,100,RU,1569105057,89,71.98,102.47,277.4,7.64
130,leshukonskoye,19,RU,1569105059,97,64.9,45.76,271.6,1.84
131,hithadhoo,100,MV,1569105060,74,-0.6,73.08,300.6,5.36
132,sur,2,OM,1569105061,55,22.57,59.53,299.7,4.96
133,aklavik,90,CA,1569105063,93,68.22,-135.01,281.15,2.6
134,hibbing,75,US,1569104821,83,47.43,-92.94,297.15,4.1
135,wajir,28,KE,1569105065,76,1.75,40.07,295.4,6.14
136,petropavlovka,65,RU,1569105066,94,50.61,105.32,280.7,2.59
137,honningsvag,75,NO,1569105068,86,70.98,25.97,277.15,7.2
138,beringovskiy,0,RU,1569105069,49,63.05,179.32,276.7,9.01
139,kinna,90,SE,1569105071,100,57.51,12.69,287.04,3.6
140,hami,0,CN,1569105072,20,42.84,93.51,291.5,0.88
141,santa cruz,22,BR,1569104859,65,-6.22,-36.02,297.946,7.95
142,chuy,0,UY,1569105074,74,-33.69,-53.46,286.3,4.18
143,bull savanna,51,JM,1569105076,66,17.89,-77.59,302.8,1.69
144,karratha,0,AU,1569105077,12,-20.74,116.85,293.8,9.94
145,vestmannaeyjar,92,IS,1569105078,84,63.44,-20.27,284.0,10.4
146,acajutla,62,SV,1569105080,67,13.59,-89.83,301.2,0.5
147,porto torres,0,IT,1569105081,61,40.84,8.4,300.15,2.1
148,show low,1,US,1569105075,10,34.25,-110.03,300.15,9.8
149,severo-kurilsk,48,RU,1569105084,82,50.68,156.12,281.9,6.72
150,turukhansk,97,RU,1569105085,79,65.8,87.96,274.6,7.36
151,leningradskiy,100,RU,1569105087,89,69.38,178.42,273.7,8.13
152,ponta do sol,97,BR,1569105089,45,-20.63,-46.0,299.2,2.29
153,tucuman,34,PE,1569105091,35,-17.17,-70.89,287.6,1.28
154,touros,40,BR,1569105093,78,-5.2,-35.46,297.15,5.7
155,isangel,75,VU,1569105097,54,-19.55,169.27,300.15,7.2
156,sambava,10,MG,1569105099,86,-14.27,50.17,290.2,1.59
157,caravelas,0,BR,1569105100,77,-17.73,-39.27,295.7,3.64
158,east london,53,ZA,1569105101,83,-33.02,27.91,287.1,3.72
159,tessalit,0,ML,1569105103,9,20.2,1.01,305.1,5.45
160,kirakira,75,SB,1569105105,81,-10.46,161.92,300.5,4.95
161,chara,0,GR,1569105107,82,39.42,22.43,286.15,0.69
162,kamenka,100,MD,1569105108,70,48.03,28.7,284.82,3.76
163,sao joao da barra,0,BR,1569105109,69,-21.64,-41.05,299.15,7.2
164,kalianget,20,ID,1569105111,73,-7.35,109.91,297.15,1.0
165,alta floresta,0,BR,1569105112,78,-9.87,-56.08,301.15,2.6
166,baruun-urt,0,MN,1569105113,44,46.68,113.28,285.8,4.23
167,kyren,93,RU,1569105115,91,51.68,102.13,277.4,2.37
168,vertientes,40,CU,1569105116,66,21.26,-78.15,304.15,2.6
169,san cristobal,51,HN,1569104971,68,14.68,-86.92,300.046,1.32
170,namtsy,0,RU,1569105119,92,62.72,129.66,273.15,3.0
171,chabahar,0,IR,1569105120,75,25.29,60.65,297.5,0.91
172,batagay-alyta,100,RU,1569105121,82,67.8,130.41,269.8,2.2
173,carnarvon,100,ZA,1569104991,29,-30.97,22.13,287.546,6.86
174,mora,46,PT,1569105124,100,38.94,-8.17,288.71,1.48
175,goma,94,CD,1569105125,86,-1.67,29.23,286.7,0.21
176,mantua,0,IT,1569105127,76,45.16,10.79,290.37,1.5
177,dhidhdhoo,100,MV,1569105128,80,6.88,73.1,301.1,5.66
178,thompson,90,CA,1569105132,76,55.74,-97.86,287.15,5.1
179,iisalmi,0,FI,1569105133,96,63.56,27.19,275.15,5.7
180,sandwick,53,GB,1569105134,57,54.57,-2.89,292.04,1.34
181,panama city,1,US,1569104855,38,30.16,-85.65,304.15,3.6
182,havoysund,75,NO,1569105137,86,71.0,24.66,276.15,12.3
183,kloulklubed,75,PW,1569105572,94,7.04,134.26,299.15,2.84
184,salantai,11,LT,1569105575,100,56.06,21.57,286.15,1.0
185,guane,100,CU,1569105576,77,22.2,-84.09,301.8,10.86
186,souillac,0,FR,1569105578,88,45.6,-0.6,294.26,4.1
187,glyadyanskoye,100,RU,1569105579,98,54.91,65.09,282.3,3.41
188,college,90,US,1569105581,86,64.86,-147.8,278.15,5.7
189,nanortalik,98,GL,1569105582,91,60.14,-45.24,277.9,2.6
190,bonfim,61,GY,1569105584,65,3.36,-59.84,301.4,3.2
191,palmer,75,AU,1569105585,87,-34.85,139.16,284.82,3.6
192,sorong,81,ID,1569105586,79,-0.86,131.25,299.6,3.01
193,kimbe,45,PG,1569105588,62,-5.56,150.15,303.4,1.46
194,dunedin,5,NZ,1569105361,72,-45.87,170.5,284.82,4.02
195,amazar,7,RU,1569105590,83,53.86,120.88,282.4,1.87
196,yulara,0,AU,1569105593,42,-25.24,130.99,282.15,4.6
197,saskylakh,66,RU,1569105594,94,71.97,114.09,276.2,4.15
198,umuarama,0,BR,1569105595,60,-23.76,-53.31,296.1,4.73
199,bundaberg,40,AU,1569105598,60,-24.87,152.35,297.59,4.6
200,raver,100,IN,1569105599,90,21.25,76.04,296.0,0.92
201,pevek,100,RU,1569105600,96,69.7,170.27,274.5,6.53
202,ambon,0,FR,1569105602,82,47.55,-2.56,292.04,3.6
203,teya,75,MX,1569105605,62,21.05,-89.07,305.15,2.1
204,santa isabel do rio negro,52,BR,1569105606,84,-0.41,-65.02,298.2,0.9
205,revelstoke,75,CA,1569105611,59,50.99,-118.19,291.15,3.6
206,quatre cocos,75,MU,1569105613,77,-20.21,57.76,294.15,7.7
207,nizwa,0,OM,1569105614,50,22.93,57.53,296.7,0.59
208,glogow,0,PL,1569105617,84,51.66,16.08,283.71,1.3
209,morlaix,90,FR,1569105618,93,48.58,-3.83,292.15,4.1
210,raudeberg,0,NO,1569105619,93,61.99,5.14,285.93,3.1
211,kyaikkami,83,MM,1569105620,80,16.08,97.57,299.8,4.73
212,aquiraz,75,BR,1569105622,74,-3.9,-38.39,300.15,5.1
213,susanville,1,US,1569105624,37,40.42,-120.65,292.59,2.6
214,port macquarie,75,AU,1569105529,88,-31.43,152.91,295.93,2.6
215,kailua,75,US,1569105627,65,21.39,-157.74,304.26,6.2
216,bairnsdale,63,AU,1569105628,77,-37.83,147.63,284.26,4.39
217,shenkursk,100,RU,1569105629,98,62.11,42.91,275.8,1.25
218,garowe,42,SO,1569105631,63,8.41,48.48,297.2,12.67
219,guarapari,40,BR,1569105632,73,-20.67,-40.5,298.15,4.6
220,muhos,0,FI,1569105633,80,64.81,26.0,277.15,3.1
221,visnes,16,NO,1569105635,93,59.36,5.22,284.82,1.0
222,batticaloa,100,LK,1569105636,90,7.71,81.69,297.9,1.32
223,naze,96,NG,1569105637,95,5.43,7.07,296.8,1.37
224,clyde river,90,CA,1569105639,97,70.47,-68.59,273.15,11.3
225,north myrtle beach,1,US,1569105640,44,33.83,-78.68,299.26,2.6
226,husavik,100,CA,1569105641,97,50.56,-96.99,288.71,2.68
227,westerly,1,US,1569105643,64,41.38,-71.83,298.15,2.6
228,klaksvik,0,FO,1569105644,100,62.23,-6.59,282.15,2.1
229,lebu,100,ET,1569105645,98,8.96,38.73,285.6,1.78
230,shakawe,2,BW,1569105647,14,-18.36,21.84,291.2,1.75
231,trinidad,45,BO,1569105510,57,-14.83,-64.9,300.15,1.5
232,sinnamary,0,GF,1569105650,83,5.38,-52.96,300.6,9.68
233,kungurtug,62,RU,1569105652,64,50.6,97.53,279.4,0.96
234,ribeira grande,40,PT,1569105653,73,38.52,-28.7,295.15,4.1
